  i            r          v_r          rho          t_r          t_e
--- ------------ ------------ ------------ ------------ ------------
  0 2.223471e+13 1.434159e+10 0.000000e+00 0.000000e+00 0.000000e+00
  1 2.295662e+13 1.439881e+10 7.099519e-13 2.534249e+05 2.280824e+05
  2 2.370198e+13 1.445410e+10 7.112704e-13 2.493147e+05 2.243832e+05
  3 2.447153e+13 1.450397e+10 7.116218e-13 2.455029e+05 2.209526e+05
  4 2.526607e+13 1.453983e+10 7.105689e-13 2.421299e+05 2.179169e+05
  5 2.608641e+13 1.455579e+10 7.085681e-13 2.388060e+05 2.149254e+05
  6 2.693338e+13 1.455202e+10 7.055353e-13 2.352726e+05 2.117453e+05
  7 2.780786e+13 1.453292e+10 7.017531e-13 2.316274e+05 2.084646e+05
  8 2.871072e+13 1.450852e+10 6.971441e-13 2.279351e+05 2.051416e+05
  9 2.964290e+13 1.447176e+10 6.916839e-13 2.243102e+05 2.018792e+05
 10 3.060534e+13 1.440923e+10 6.851831e-13 2.208806e+05 1.987926e+05
 11 3.159904e+13 1.431791e+10 6.777065e-13 2.175209e+05 1.957689e+05
 12 3.262499e+13 1.421251e+10 6.693742e-13 2.139959e+05 1.925963e+05
 13 3.368426e+13 1.409384e+10 6.602995e-13 2.103527e+05 1.893174e+05
 14 3.477792e+13 1.395573e+10 6.506658e-13 2.067109e+05 1.860398e+05
 15 3.590709e+13 1.379217e+10 6.404356e-13 2.031439e+05 1.828295e+05
 16 3.707292e+13 1.360921e+10 6.299255e-13 1.996785e+05 1.797106e+05
 17 3.827660e+13 1.340838e+10 6.189534e-13 1.961890e+05 1.765701e+05
 18 3.951937e+13 1.319203e+10 6.076623e-13 1.925189e+05 1.732670e+05
 19 4.080248e+13 1.296106e+10 5.960041e-13 1.887546e+05 1.698791e+05
 20 4.212725e+13 1.272365e+10 5.841462e-13 1.851364e+05 1.666228e+05
 21 4.349504e+13 1.248319e+10 5.719257e-13 1.816394e+05 1.634754e+05
 22 4.490723e+13 1.223403e+10 5.590856e-13 1.780734e+05 1.602661e+05
 23 4.636528e+13 1.196975e+10 5.455419e-13 1.744479e+05 1.570031e+05
 24 4.787067e+13 1.170244e+10 5.314937e-13 1.709618e+05 1.538656e+05
 25 4.942493e+13 1.144384e+10 5.171613e-13 1.675910e+05 1.508319e+05
 26 5.102966e+13 1.118601e+10 5.029161e-13 1.640974e+05 1.476876e+05
 27 5.268649e+13 1.091998e+10 4.887197e-13 1.604380e+05 1.443942e+05
 28 5.439711e+13 1.065432e+10 4.742912e-13 1.568597e+05 1.411737e+05
 29 5.616327e+13 1.040390e+10 4.594416e-13 1.535120e+05 1.381608e+05
 30 5.798678e+13 1.016403e+10 4.445515e-13 1.503172e+05 1.352854e+05
 31 5.986949e+13 9.927060e+09 4.299681e-13 1.471786e+05 1.324607e+05
 32 6.181334e+13 9.690789e+09 4.156071e-13 1.440503e+05 1.296452e+05
 33 6.382029e+13 9.459665e+09 4.013612e-13 1.409155e+05 1.268240e+05
 34 6.589240e+13 9.233292e+09 3.871642e-13 1.378908e+05 1.241018e+05
 35 6.803180e+13 9.013880e+09 3.730311e-13 1.350660e+05 1.215594e+05
 36 7.024065e+13 8.799810e+09 3.591309e-13 1.323591e+05 1.191232e+05
 37 7.252122e+13 8.591635e+09 3.455618e-13 1.296893e+05 1.167204e+05
 38 7.487584e+13 8.386178e+09 3.323713e-13 1.270906e+05 1.143815e+05
 39 7.730691e+13 8.184408e+09 3.195189e-13 1.246240e+05 1.121616e+05
 40 7.981690e+13 7.986798e+09 3.069521e-13 1.222940e+05 1.100646e+05
 41 8.240840e+13 7.796342e+09 2.946575e-13 1.200715e+05 1.080643e+05
 42 8.508403e+13 7.613233e+09 2.826231e-13 1.179702e+05 1.061732e+05
 43 8.784654e+13 7.435138e+09 2.710432e-13 1.160134e+05 1.044121e+05
 44 9.069873e+13 7.261626e+09 2.598127e-13 1.141861e+05 1.027675e+05
 45 9.364354e+13 7.095356e+09 2.489056e-13 1.124471e+05 1.012024e+05
 46 9.668395e+13 6.937923e+09 2.383879e-13 1.107589e+05 9.968304e+04
 47 9.982308e+13 6.785057e+09 2.284625e-13 1.090962e+05 9.818655e+04
 48 1.030641e+14 6.633322e+09 2.190192e-13 1.074928e+05 9.674356e+04
 49 1.064104e+14 6.485116e+09 2.098177e-13 1.060142e+05 9.541275e+04
 50 1.098654e+14 6.343748e+09 2.007634e-13 1.046645e+05 9.419803e+04
 51 1.134325e+14 6.210058e+09 1.920844e-13 1.033677e+05 9.303097e+04
 52 1.171154e+14 6.084670e+09 1.839171e-13 1.020855e+05 9.187698e+04
 53 1.209179e+14 5.965473e+09 1.762220e-13 1.008170e+05 9.073529e+04
 54 1.248438e+14 5.848980e+09 1.688663e-13 9.957639e+04 8.961875e+04
 55 1.288973e+14 5.737243e+09 1.617707e-13 9.838372e+04 8.854534e+04
 56 1.330823e+14 5.634225e+09 1.549364e-13 9.725803e+04 8.753223e+04
 57 1.374032e+14 5.540906e+09 1.484462e-13 9.618830e+04 8.656947e+04
 58 1.418644e+14 5.453056e+09 1.423369e-13 9.515982e+04 8.564384e+04
 59 1.464705e+14 5.369085e+09 1.365235e-13 9.412997e+04 8.471697e+04
 60 1.512261e+14 5.287550e+09 1.309917e-13 9.306726e+04 8.376054e+04
 61 1.561361e+14 5.212486e+09 1.257938e-13 9.201885e+04 8.281696e+04
 62 1.612055e+14 5.142981e+09 1.209307e-13 9.103236e+04 8.192912e+04
 63 1.664395e+14 5.077182e+09 1.161953e-13 9.007928e+04 8.107135e+04
 64 1.718434e+14 5.009679e+09 1.113816e-13 8.911584e+04 8.020425e+04
 65 1.774229e+14 4.945088e+09 1.065994e-13 8.816644e+04 7.934979e+04
 66 1.831834e+14 4.889848e+09 1.019625e-13 8.727040e+04 7.854336e+04
 67 1.891310e+14 4.845520e+09 9.741035e-14 8.639944e+04 7.775950e+04
 68 1.952717e+14 4.799255e+09 9.289364e-14 8.549905e+04 7.694915e+04
 69 2.016118e+14 4.746406e+09 8.839221e-14 8.459216e+04 7.613295e+04
 70 2.081577e+14 4.696927e+09 8.398106e-14 8.374796e+04 7.537316e+04
 71 2.149162e+14 4.659247e+09 7.967696e-14 8.294123e+04 7.464711e+04
 72 2.218941e+14 4.622560e+09 7.550969e-14 8.209431e+04 7.388488e+04
 73 2.290985e+14 4.579652e+09 7.150413e-14 8.118505e+04 7.306654e+04
 74 2.365369e+14 4.543333e+09 6.776343e-14 8.024875e+04 7.222388e+04
 75 2.442167e+14 4.527691e+09 6.431836e-14 7.931078e+04 7.137970e+04
 76 2.521460e+14 4.515017e+09 6.115771e-14 7.836145e+04 7.052531e+04
 77 2.603326e+14 4.480748e+09 5.817883e-14 7.738291e+04 6.964462e+04
 78 2.687851e+14 4.439472e+09 5.528649e-14 7.636387e+04 6.872748e+04
 79 2.775120e+14 4.418394e+09 5.245115e-14 7.531336e+04 6.778202e+04
 80 2.865223e+14 4.413195e+09 4.977500e-14 7.425183e+04 6.682665e+04
 81 2.958250e+14 4.402046e+09 4.727099e-14 7.317984e+04 6.586185e+04
 82 3.054299e+14 4.381418e+09 4.487370e-14 7.208216e+04 6.487394e+04
 83 3.153466e+14 4.360915e+09 4.256435e-14 7.095054e+04 6.385549e+04
 84 3.255852e+14 4.349307e+09 4.042568e-14 6.980253e+04 6.282228e+04
 85 3.361563e+14 4.341421e+09 3.847688e-14 6.865666e+04 6.179100e+04
 86 3.470706e+14 4.327803e+09 3.657962e-14 6.751866e+04 6.076680e+04
 87 3.583393e+14 4.301772e+09 3.464101e-14 6.640354e+04 5.976318e+04
 88 3.699739e+14 4.278884e+09 3.276080e-14 6.533657e+04 5.880291e+04
 89 3.819862e+14 4.278275e+09 3.101221e-14 6.432989e+04 5.789690e+04
 90 3.943885e+14 4.293513e+09 2.930976e-14 6.330448e+04 5.697403e+04
 91 4.071935e+14 4.288005e+09 2.756951e-14 6.217950e+04 5.596155e+04
 92 4.204142e+14 4.257923e+09 2.587754e-14 6.102438e+04 5.492195e+04
 93 4.340642e+14 4.244728e+09 2.437043e-14 5.994123e+04 5.394711e+04
 94 4.481574e+14 4.266727e+09 2.296892e-14 5.894709e+04 5.305238e+04
 95 4.627082e+14 4.272378e+09 2.153749e-14 5.801596e+04 5.221437e+04
 96 4.777314e+14 4.228696e+09 2.008022e-14 5.712284e+04 5.141056e+04
 97 4.932423e+14 4.199567e+09 1.871810e-14 5.621448e+04 5.059303e+04
 98 5.092569e+14 4.244818e+09 1.743874e-14 5.527885e+04 4.975096e+04
 99 5.257914e+14 4.296115e+09 1.618720e-14 5.434336e+04 4.890903e+04
100 5.428628e+14 4.270032e+09 1.493337e-14 5.345557e+04 4.811001e+04
101 5.604885e+14 4.225829e+09 1.372107e-14 5.261563e+04 4.735406e+04
102 5.786864e+14 4.260250e+09 1.255363e-14 5.181410e+04 4.663269e+04
103 5.974752e+14 4.334628e+09 1.144109e-14 5.099213e+04 4.589291e+04
104 6.168740e+14 4.352104e+09 1.038401e-14 5.011801e+04 4.510621e+04
105 6.369026e+14 4.327547e+09 9.407499e-15 4.923151e+04 4.430836e+04
106 6.575815e+14 4.343537e+09 8.514314e-15 4.837898e+04 4.354108e+04
107 6.789319e+14 4.404656e+09 7.697539e-15 4.756678e+04 4.281010e+04
