  i            r          v_r          rho          t_r          t_e
--- ------------ ------------ ------------ ------------ ------------
  0 3.714861e+12 1.120635e+08 0.000000e+00 0.000000e+00 0.000000e+00
  1 3.835475e+12 3.220295e+08 1.322465e-11 6.833686e+05 6.150318e+05
  2 3.960005e+12 5.986647e+08 1.288916e-11 6.716075e+05 6.044467e+05
  3 4.088578e+12 9.275276e+08 1.251634e-11 6.601284e+05 5.941156e+05
  4 4.221326e+12 1.297527e+09 1.211828e-11 6.488622e+05 5.839760e+05
  5 4.358384e+12 1.689779e+09 1.170412e-11 6.377102e+05 5.739391e+05
  6 4.499892e+12 2.079220e+09 1.126058e-11 6.266808e+05 5.640127e+05
  7 4.645994e+12 2.466585e+09 1.080608e-11 6.158062e+05 5.542256e+05
  8 4.796840e+12 2.848689e+09 1.036318e-11 6.049975e+05 5.444978e+05
  9 4.952584e+12 3.219920e+09 9.945109e-12 5.943789e+05 5.349410e+05
 10 5.113384e+12 3.577053e+09 9.549658e-12 5.842420e+05 5.258178e+05
 11 5.279405e+12 3.921829e+09 9.187500e-12 5.744490e+05 5.170041e+05
 12 5.450817e+12 4.264495e+09 8.866588e-12 5.645811e+05 5.081230e+05
 13 5.627794e+12 4.610492e+09 8.579511e-12 5.547353e+05 4.992618e+05
 14 5.810517e+12 4.955149e+09 8.299790e-12 5.453398e+05 4.908058e+05
 15 5.999172e+12 5.291937e+09 8.023829e-12 5.363666e+05 4.827299e+05
 16 6.193953e+12 5.610553e+09 7.763877e-12 5.274363e+05 4.746927e+05
 17 6.395058e+12 5.901651e+09 7.524559e-12 5.186245e+05 4.667621e+05
 18 6.602693e+12 6.174948e+09 7.295467e-12 5.102826e+05 4.592543e+05
 19 6.817069e+12 6.440266e+09 7.072702e-12 5.023129e+05 4.520816e+05
 20 7.038405e+12 6.684545e+09 6.858627e-12 4.942844e+05 4.448560e+05
 21 7.266928e+12 6.893876e+09 6.654940e-12 4.860281e+05 4.374253e+05
 22 7.502870e+12 7.077188e+09 6.462974e-12 4.777151e+05 4.299436e+05
 23 7.746473e+12 7.249777e+09 6.281716e-12 4.695417e+05 4.225876e+05
 24 7.997986e+12 7.412791e+09 6.111750e-12 4.616929e+05 4.155236e+05
 25 8.257664e+12 7.565334e+09 5.953941e-12 4.541445e+05 4.087300e+05
 26 8.525773e+12 7.702140e+09 5.808026e-12 4.466450e+05 4.019805e+05
 27 8.802588e+12 7.817965e+09 5.671760e-12 4.391029e+05 3.951926e+05
 28 9.088390e+12 7.915194e+09 5.544234e-12 4.316624e+05 3.884962e+05
 29 9.383472e+12 8.002215e+09 5.423553e-12 4.244009e+05 3.819608e+05
 30 9.688134e+12 8.079743e+09 5.309320e-12 4.173538e+05 3.756184e+05
 31 1.000269e+13 8.145416e+09 5.198789e-12 4.105165e+05 3.694648e+05
 32 1.032745e+13 8.193500e+09 5.090846e-12 4.037079e+05 3.633371e+05
 33 1.066277e+13 8.222395e+09 4.983617e-12 3.967942e+05 3.571148e+05
 34 1.100896e+13 8.232836e+09 4.880173e-12 3.899017e+05 3.509115e+05
 35 1.136640e+13 8.229617e+09 4.780877e-12 3.831855e+05 3.448670e+05
 36 1.173545e+13 8.213406e+09 4.684624e-12 3.767113e+05 3.390402e+05
 37 1.211647e+13 8.185800e+09 4.589697e-12 3.704957e+05 3.334461e+05
 38 1.250987e+13 8.143491e+09 4.499875e-12 3.644107e+05 3.279697e+05
 39 1.291604e+13 8.085574e+09 4.417061e-12 3.582855e+05 3.224570e+05
