  i   j inwind            r        theta           v_x          v_y           v_z          rho          t_e          t_r
--- --- ------ ------------ ------------ ------------- ------------ ------------- ------------ ------------ ------------
  0   0     -1 2.171758e+13 0.000000e+00 -2.128128e+09 0.000000e+00  4.342824e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   1     -1 2.171758e+13 7.142857e-01 -2.073823e+09 0.000000e+00  4.369016e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   2     -1 2.171758e+13 1.428571e+00 -2.019197e+09 0.000000e+00  4.394529e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   3     -1 2.171758e+13 2.142857e+00 -1.964256e+09 0.000000e+00  4.419360e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   4     -1 2.171758e+13 2.857143e+00 -1.610083e+09 0.000000e+00  4.641446e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   5     -1 2.171758e+13 3.571429e+00 -1.109177e+09 0.000000e+00  4.918132e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   6     -1 2.171758e+13 4.285714e+00 -6.187914e+08 0.000000e+00  5.187870e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   7     -1 2.171758e+13 5.000000e+00 -1.524532e+08 0.000000e+00  5.454529e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   8     -1 2.171758e+13 5.714286e+00  2.768318e+08 0.000000e+00  5.722926e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0   9     -1 2.171758e+13 6.428571e+00  6.562782e+08 0.000000e+00  5.998525e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  10     -1 2.171758e+13 7.142857e+00  9.671453e+08 0.000000e+00  6.290125e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  11     -1 2.171758e+13 7.857143e+00  1.205245e+09 0.000000e+00  6.601375e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  12     -1 2.171758e+13 8.571429e+00  1.385466e+09 0.000000e+00  6.929056e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  13     -1 2.171758e+13 9.285714e+00  1.519231e+09 0.000000e+00  7.272985e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  14     -1 2.171758e+13 1.000000e+01  1.622751e+09 0.000000e+00  7.629353e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  15     -1 2.171758e+13 1.071429e+01  1.711994e+09 0.000000e+00  7.993556e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  16     -1 2.171758e+13 1.142857e+01  1.806232e+09 0.000000e+00  8.358584e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  17     -1 2.171758e+13 1.214286e+01  1.927511e+09 0.000000e+00  8.715178e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  18     -1 2.171758e+13 1.285714e+01  2.069459e+09 0.000000e+00  9.065267e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  19     -1 2.171758e+13 1.357143e+01  2.230498e+09 0.000000e+00  9.409942e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  20     -1 2.171758e+13 1.428571e+01  2.408780e+09 0.000000e+00  9.749983e+09 0.000000e+00 0.000000e+00 0.000000e+00
  0  21     -1 2.171758e+13 1.500000e+01  2.602509e+09 0.000000e+00  1.008622e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  22     -1 2.171758e+13 1.571429e+01  2.809431e+09 0.000000e+00  1.041955e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  23     -1 2.171758e+13 1.642857e+01  3.026843e+09 0.000000e+00  1.074927e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  24     -1 2.171758e+13 1.714286e+01  3.254980e+09 0.000000e+00  1.107383e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  25     -1 2.171758e+13 1.785714e+01  3.492916e+09 0.000000e+00  1.138908e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  26     -1 2.171758e+13 1.857143e+01  3.739381e+09 0.000000e+00  1.169064e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  27     -1 2.171758e+13 1.928571e+01  3.992895e+09 0.000000e+00  1.197420e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  28     -1 2.171758e+13 2.000000e+01  4.251451e+09 0.000000e+00  1.223360e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  29     -1 2.171758e+13 2.071429e+01  4.512284e+09 0.000000e+00  1.246690e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  30     -1 2.171758e+13 2.142857e+01  4.774639e+09 0.000000e+00  1.267565e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  31     -1 2.171758e+13 2.214286e+01  5.036187e+09 0.000000e+00  1.285957e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  32     -1 2.171758e+13 2.285714e+01  5.294876e+09 0.000000e+00  1.301940e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  33     -1 2.171758e+13 2.357143e+01  5.548647e+09 0.000000e+00  1.315641e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  34     -1 2.171758e+13 2.428571e+01  5.794465e+09 0.000000e+00  1.327049e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  35     -1 2.171758e+13 2.500000e+01  6.032812e+09 0.000000e+00  1.336144e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  36     -1 2.171758e+13 2.571429e+01  6.264021e+09 0.000000e+00  1.342996e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  37     -1 2.171758e+13 2.642857e+01  6.488297e+09 0.000000e+00  1.347577e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  38     -1 2.171758e+13 2.714286e+01  6.705900e+09 0.000000e+00  1.349859e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  39     -1 2.171758e+13 2.785714e+01  6.916471e+09 0.000000e+00  1.349683e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  40     -1 2.171758e+13 2.857143e+01  7.119020e+09 0.000000e+00  1.347249e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  41     -1 2.171758e+13 2.928571e+01  7.312593e+09 0.000000e+00  1.342735e+10 0.000000e+00 0.000000e+00 0.000000e+00
  0  42     -1 2.171758e+13 3.000000e+01  7.495579e+09 0.000000e+00  1.336318e+10 0.000000e+00 0.000000e+00 0.000000e+00
