  i            r          v_r          rho          t_r          t_e
--- ------------ ------------ ------------ ------------ ------------
  0 2.223471e+13 4.633085e+08 0.000000e+00 0.000000e+00 0.000000e+00
  1 2.295662e+13 4.405052e+08 1.564652e-11 3.503894e+05 3.153504e+05
  2 2.370198e+13 4.177256e+08 1.528635e-11 3.441436e+05 3.097292e+05
  3 2.447153e+13 3.952303e+08 1.494048e-11 3.380018e+05 3.042017e+05
  4 2.526607e+13 3.730091e+08 1.462441e-11 3.319479e+05 2.987531e+05
  5 2.608641e+13 3.513681e+08 1.433073e-11 3.259881e+05 2.933893e+05
  6 2.693338e+13 3.322100e+08 1.404999e-11 3.201147e+05 2.881033e+05
  7 2.780786e+13 3.155655e+08 1.377268e-11 3.143150e+05 2.828835e+05
  8 2.871072e+13 3.009956e+08 1.350435e-11 3.086090e+05 2.777481e+05
  9 2.964290e+13 2.876481e+08 1.323985e-11 3.030096e+05 2.727086e+05
 10 3.060534e+13 2.746885e+08 1.299765e-11 2.975627e+05 2.678064e+05
 11 3.159904e+13 2.622690e+08 1.279102e-11 2.923122e+05 2.630810e+05
 12 3.262499e+13 2.505617e+08 1.263291e-11 2.873016e+05 2.585714e+05
 13 3.368426e+13 2.397236e+08 1.251117e-11 2.824748e+05 2.542273e+05
 14 3.477792e+13 2.295616e+08 1.242025e-11 2.777903e+05 2.500113e+05
 15 3.590709e+13 2.201215e+08 1.235338e-11 2.732548e+05 2.459293e+05
 16 3.707292e+13 2.109874e+08 1.230433e-11 2.688837e+05 2.419953e+05
 17 3.827660e+13 2.025934e+08 1.226394e-11 2.646658e+05 2.381992e+05
 18 3.951937e+13 1.949248e+08 1.221560e-11 2.605592e+05 2.345033e+05
 19 4.080248e+13 1.884099e+08 1.217676e-11 2.565791e+05 2.309212e+05
 20 4.212725e+13 1.819997e+08 1.211557e-11 2.526289e+05 2.273661e+05
 21 4.349504e+13 1.751129e+08 1.205519e-11 2.487693e+05 2.238924e+05
 22 4.490723e+13 1.686792e+08 1.196397e-11 2.449960e+05 2.204964e+05
 23 4.636528e+13 1.627909e+08 1.184882e-11 2.413122e+05 2.171810e+05
 24 4.787067e+13 1.579133e+08 1.166574e-11 2.375664e+05 2.138098e+05
 25 4.942493e+13 1.545390e+08 1.149331e-11 2.338964e+05 2.105068e+05
 26 5.102966e+13 1.528165e+08 1.128192e-11 2.302654e+05 2.072389e+05
 27 5.268649e+13 1.537545e+08 1.107147e-11 2.267624e+05 2.040862e+05
 28 5.439711e+13 1.567744e+08 1.082827e-11 2.232518e+05 2.009266e+05
