       r    i inwind 
2.22e+13    0     -1 
2.30e+13    1      0 
2.37e+13    2      0 
2.45e+13    3      0 
2.53e+13    4      0 
2.61e+13    5      0 
2.69e+13    6      0 
2.78e+13    7      0 
2.87e+13    8      0 
2.96e+13    9      0 
3.06e+13   10      0 
3.16e+13   11      0 
3.26e+13   12      0 
3.37e+13   13      0 
3.48e+13   14      0 
3.59e+13   15      0 
3.71e+13   16      0 
3.83e+13   17      0 
3.95e+13   18      0 
4.08e+13   19      0 
4.21e+13   20      0 
4.35e+13   21      0 
4.49e+13   22      0 
4.64e+13   23      0 
4.79e+13   24      0 
4.94e+13   25      0 
5.10e+13   26      0 
5.27e+13   27      0 
5.44e+13   28      0 
5.62e+13   29      0 
5.80e+13   30      0 
5.99e+13   31      0 
6.18e+13   32      0 
6.38e+13   33      0 
6.59e+13   34      0 
6.80e+13   35      0 
7.02e+13   36      0 
7.25e+13   37      0 
7.49e+13   38      0 
7.73e+13   39      0 
7.98e+13   40      0 
8.24e+13   41      0 
8.51e+13   42      0 
8.78e+13   43      0 
9.07e+13   44      0 
9.36e+13   45      0 
9.67e+13   46      0 
9.98e+13   47      0 
1.03e+14   48      0 
1.06e+14   49      0 
1.10e+14   50      0 
1.13e+14   51      0 
1.17e+14   52      0 
1.21e+14   53      0 
1.25e+14   54      0 
1.29e+14   55      0 
1.33e+14   56      0 
1.37e+14   57      0 
1.42e+14   58      0 
1.46e+14   59      0 
1.51e+14   60      0 
1.56e+14   61      0 
1.61e+14   62      0 
1.66e+14   63      0 
1.72e+14   64      0 
1.77e+14   65      0 
1.83e+14   66      0 
1.89e+14   67      0 
1.95e+14   68      0 
2.02e+14   69      0 
2.08e+14   70      0 
2.15e+14   71      0 
2.22e+14   72      0 
2.29e+14   73      0 
2.37e+14   74      0 
2.44e+14   75      0 
2.52e+14   76      0 
2.60e+14   77      0 
2.69e+14   78      0 
2.78e+14   79      0 
2.87e+14   80      0 
2.96e+14   81      0 
3.05e+14   82      0 
3.15e+14   83      0 
3.26e+14   84      0 
3.36e+14   85      0 
3.47e+14   86      0 
3.58e+14   87      0 
3.70e+14   88      0 
3.82e+14   89      0 
3.94e+14   90      0 
4.07e+14   91      0 
4.20e+14   92      0 
4.34e+14   93      0 
4.48e+14   94      0 
4.63e+14   95      0 
4.78e+14   96      0 
4.93e+14   97      0 
5.09e+14   98      0 
5.26e+14   99      0 
5.43e+14  100      0 
5.60e+14  101      0 
5.79e+14  102      0 
5.97e+14  103      0 
6.17e+14  104      0 
6.37e+14  105      0 
6.58e+14  106      0 
6.79e+14  107      0 
7.01e+14  108      0 
7.24e+14  109      0 
7.47e+14  110      0 
7.71e+14  111      0 
7.97e+14  112      0 
8.22e+14  113      0 
8.49e+14  114      0 
8.77e+14  115      0 
9.05e+14  116      0 
9.35e+14  117      0 
9.65e+14  118      0 
9.96e+14  119      0 
1.03e+15  120      0 
1.06e+15  121      0 
1.10e+15  122      0 
1.13e+15  123      0 
1.17e+15  124      0 
1.21e+15  125      0 
1.25e+15  126      0 
1.29e+15  127      0 
1.33e+15  128      0 
1.37e+15  129      0 
1.42e+15  130      0 
1.46e+15  131      0 
1.51e+15  132      0 
1.56e+15  133      0 
1.61e+15  134      0 
1.66e+15  135      0 
1.71e+15  136      0 
1.77e+15  137      0 
1.83e+15  138      0 
1.89e+15  139      0 
1.95e+15  140      0 
2.01e+15  141      0 
2.08e+15  142      0 
2.14e+15  143      0 
2.21e+15  144      0 
2.29e+15  145      0 
2.36e+15  146      0 
2.44e+15  147      0 
2.52e+15  148      0 
2.60e+15  149      0 
2.68e+15  150      0 
2.77e+15  151      0 
2.86e+15  152      0 
2.95e+15  153     -1 
3.05e+15  154     -1 
