        r    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e   t_e_old      dt_e  dt_e_old       t_r   t_r_old         w  heat_tot heat_tot_  cool_tot      ntot        ip    nioniz      gain macro_bf_ macro_bf_ 
2.223e+13    0     -1        0  5.65e+09  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.296e+13    1      0        0  5.48e+09  0.00e+00  0.00e+00  5.18e+39  2.83e-12  1.45e+12  2.64e+05  2.64e+05  6.07e+01 -1.12e+02  1.77e+05  1.77e+05  1.22e+01  2.41e+42  2.41e+42  2.41e+42  1.48e+07  9.88e+05  1.44e+07  3.32e-01  0.00e+00  0.00e+00 
2.370e+13    2      0        0  5.29e+09  0.00e+00  0.00e+00  5.70e+39  2.76e-12  1.42e+12  2.62e+05  2.62e+05  1.06e+02 -1.15e+02  1.74e+05  1.74e+05  1.25e+01  2.46e+42  2.46e+42  2.46e+42  1.53e+07  9.83e+05  1.49e+07  3.32e-01  0.00e+00  0.00e+00 
2.447e+13    3      0        0  5.10e+09  0.00e+00  0.00e+00  6.26e+39  2.70e-12  1.38e+12  2.60e+05  2.60e+05 -4.70e+00 -1.64e+02  1.72e+05  1.72e+05  1.25e+01  2.52e+42  2.52e+42  2.52e+42  1.58e+07  9.78e+05  1.53e+07  8.00e-01  0.00e+00  0.00e+00 
2.527e+13    4      0        0  4.92e+09  0.00e+00  0.00e+00  6.89e+39  2.63e-12  1.35e+12  2.58e+05  2.58e+05 -1.41e+02 -2.67e+02  1.71e+05  1.71e+05  1.24e+01  2.59e+42  2.59e+42  2.59e+42  1.63e+07  9.71e+05  1.58e+07  6.16e-01  0.00e+00  0.00e+00 
2.609e+13    5      0        0  4.74e+09  0.00e+00  0.00e+00  7.57e+39  2.57e-12  1.32e+12  2.56e+05  2.56e+05  5.94e+00 -1.76e+02  1.70e+05  1.70e+05  1.23e+01  2.67e+42  2.67e+42  2.67e+42  1.69e+07  9.66e+05  1.64e+07  3.32e-01  0.00e+00  0.00e+00 
2.693e+13    6      0        0  4.57e+09  0.00e+00  0.00e+00  8.33e+39  2.51e-12  1.29e+12  2.54e+05  2.54e+05 -2.73e+01 -1.86e+02  1.68e+05  1.69e+05  1.22e+01  2.76e+42  2.76e+42  2.75e+42  1.74e+07  9.62e+05  1.69e+07  4.31e-01  0.00e+00  0.00e+00 
2.781e+13    7      0        0  4.40e+09  0.00e+00  0.00e+00  9.16e+39  2.45e-12  1.26e+12  2.52e+05  2.52e+05 -4.89e+01 -8.25e+01  1.68e+05  1.68e+05  1.21e+01  2.84e+42  2.84e+42  2.84e+42  1.80e+07  9.57e+05  1.75e+07  3.65e-01  0.00e+00  0.00e+00 
2.871e+13    8      0        0  4.23e+09  0.00e+00  0.00e+00  1.01e+40  2.39e-12  1.23e+12  2.50e+05  2.50e+05  2.25e+01 -1.59e+02  1.67e+05  1.67e+05  1.20e+01  2.93e+42  2.93e+42  2.93e+42  1.87e+07  9.54e+05  1.81e+07  3.65e-01  0.00e+00  0.00e+00 
2.964e+13    9      0        0  4.06e+09  0.00e+00  0.00e+00  1.11e+40  2.33e-12  1.19e+12  2.48e+05  2.48e+05 -1.69e+01 -1.26e+02  1.66e+05  1.66e+05  1.18e+01  3.01e+42  3.01e+42  3.01e+42  1.93e+07  9.50e+05  1.87e+07  2.32e-01  0.00e+00  0.00e+00 
3.061e+13   10      0        0  3.89e+09  0.00e+00  0.00e+00  1.22e+40  2.27e-12  1.16e+12  2.46e+05  2.46e+05  4.71e+00 -3.78e+01  1.65e+05  1.65e+05  1.17e+01  3.08e+42  3.08e+42  3.08e+42  1.99e+07  9.47e+05  1.93e+07  1.00e-01  0.00e+00  0.00e+00 
3.160e+13   11      0        0  3.73e+09  0.00e+00  0.00e+00  1.34e+40  2.20e-12  1.13e+12  2.44e+05  2.44e+05  8.03e+01 -6.14e+01  1.64e+05  1.64e+05  1.15e+01  3.13e+42  3.13e+42  3.13e+42  2.06e+07  9.44e+05  1.99e+07  8.00e-01  0.00e+00  0.00e+00 
3.262e+13   12      0        0  3.58e+09  0.00e+00  0.00e+00  1.47e+40  2.13e-12  1.09e+12  2.41e+05  2.41e+05 -3.20e+01 -2.42e+01  1.63e+05  1.63e+05  1.14e+01  3.18e+42  3.18e+42  3.18e+42  2.12e+07  9.39e+05  2.05e+07  3.02e-01  0.00e+00  0.00e+00 
3.368e+13   13      0        0  3.45e+09  0.00e+00  0.00e+00  1.62e+40  2.07e-12  1.06e+12  2.39e+05  2.39e+05 -6.00e+01  1.07e+02  1.61e+05  1.62e+05  1.12e+01  3.21e+42  3.21e+42  3.21e+42  2.18e+07  9.33e+05  2.10e+07  5.60e-01  0.00e+00  0.00e+00 
3.478e+13   14      0        0  3.31e+09  0.00e+00  0.00e+00  1.78e+40  2.00e-12  1.02e+12  2.36e+05  2.36e+05  8.13e+00  4.89e+01  1.60e+05  1.60e+05  1.10e+01  3.23e+42  3.23e+42  3.23e+42  2.23e+07  9.28e+05  2.15e+07  8.00e-01  0.00e+00  0.00e+00 
3.591e+13   15      0        0  3.18e+09  0.00e+00  0.00e+00  1.96e+40  1.93e-12  9.89e+11  2.33e+05  2.33e+05  4.09e+01  8.71e+01  1.59e+05  1.59e+05  1.08e+01  3.24e+42  3.24e+42  3.24e+42  2.28e+07  9.22e+05  2.20e+07  8.00e-01  0.00e+00  0.00e+00 
3.707e+13   16      0        0  3.06e+09  0.00e+00  0.00e+00  2.16e+40  1.86e-12  9.52e+11  2.30e+05  2.30e+05  3.35e+01  9.64e+01  1.58e+05  1.58e+05  1.06e+01  3.22e+42  3.22e+42  3.22e+42  2.33e+07  9.16e+05  2.24e+07  8.00e-01  0.00e+00  0.00e+00 
3.828e+13   17      0        0  2.95e+09  0.00e+00  0.00e+00  2.37e+40  1.78e-12  9.14e+11  2.27e+05  2.27e+05  1.48e+02  1.47e+01  1.57e+05  1.57e+05  1.04e+01  3.17e+42  3.17e+42  3.18e+42  2.37e+07  9.09e+05  2.28e+07  5.74e-01  0.00e+00  0.00e+00 
3.952e+13   18      0        0  2.85e+09  0.00e+00  0.00e+00  2.61e+40  1.71e-12  8.75e+11  2.24e+05  2.24e+05  2.01e+02 -4.01e+01  1.55e+05  1.56e+05  1.01e+01  3.11e+42  3.11e+42  3.12e+42  2.41e+07  9.02e+05  2.31e+07  4.74e-01  0.00e+00  0.00e+00 
