        r      rcen    i inwind converge       v_x       v_y       v_z       vol       rho        ne       t_e       t_r        h1       he2        c4        n5        o6  dmo_dt_x  dmo_dt_y  dmo_dt_z        ip        xi      ntot      nrad    nioniz 
2.223e+13 2.260e+13    0     -1        0  1.43e+10  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00  0.00e+00 
2.296e+13 2.333e+13    1      0        0  1.44e+10  0.00e+00  0.00e+00  5.82e+39  6.22e-13  3.19e+11  1.97e+05  1.60e+05  1.33e-11  2.03e-11  0.00e+00  0.00e+00  3.92e-08  4.36e+32  1.99e+31 -3.92e+31  2.50e+06  6.24e+07  1.09e+07  0.00e+00  1.04e+07 
2.370e+13 2.409e+13    2      0        0  1.45e+10  0.00e+00  0.00e+00  6.41e+39  6.23e-13  3.19e+11  1.88e+05  1.50e+05  1.13e-11  2.20e-11  0.00e+00  0.00e+00  7.78e-08 -2.30e+33  3.90e+31 -1.02e+33  2.15e+06  5.09e+07  1.08e+07  0.00e+00  1.03e+07 
2.447e+13 2.487e+13    3      0        0  1.45e+10  0.00e+00  0.00e+00  7.06e+39  6.23e-13  3.19e+11  1.82e+05  1.44e+05  1.28e-11  4.57e-11  0.00e+00  0.00e+00  1.21e-07 -2.98e+33  2.48e+32 -1.50e+33  1.92e+06  4.42e+07  1.08e+07  0.00e+00  1.03e+07 
2.527e+13 2.568e+13    4      0        0  1.45e+10  0.00e+00  0.00e+00  7.77e+39  6.21e-13  3.18e+11  1.77e+05  1.40e+05  1.43e-11  3.46e-11  0.00e+00  0.00e+00  1.72e-07 -3.43e+33  1.94e+31 -2.29e+33  1.75e+06  3.96e+07  1.08e+07  0.00e+00  1.03e+07 
2.609e+13 2.651e+13    5      0        0  1.46e+10  0.00e+00  0.00e+00  8.56e+39  6.19e-13  3.17e+11  1.73e+05  1.37e+05  1.35e-11  3.29e-11  0.00e+00  0.00e+00  2.31e-07 -3.71e+33  5.20e+31 -2.42e+33  1.61e+06  3.57e+07  1.08e+07  0.00e+00  1.02e+07 
2.693e+13 2.737e+13    6      0        0  1.46e+10  0.00e+00  0.00e+00  9.42e+39  6.17e-13  3.16e+11  1.69e+05  1.34e+05  1.87e-11  3.74e-11  0.00e+00  0.00e+00  3.00e-07 -3.95e+33 -1.26e+32 -2.68e+33  1.49e+06  3.27e+07  1.09e+07  0.00e+00  1.02e+07 
2.781e+13 2.826e+13    7      0        0  1.45e+10  0.00e+00  0.00e+00  1.04e+40  6.14e-13  3.14e+11  1.66e+05  1.31e+05  1.89e-11  5.84e-11  0.00e+00  0.00e+00  3.76e-07 -4.11e+33 -8.30e+31 -2.73e+33  1.39e+06  3.00e+07  1.09e+07  0.00e+00  1.02e+07 
2.871e+13 2.918e+13    8      0        0  1.45e+10  0.00e+00  0.00e+00  1.14e+40  6.10e-13  3.13e+11  1.63e+05  1.29e+05  2.45e-11  4.22e-11  0.00e+00  0.00e+00  4.62e-07 -4.32e+33  1.52e+31 -2.82e+33  1.30e+06  2.76e+07  1.09e+07  0.00e+00  1.02e+07 
2.964e+13 3.012e+13    9      0        0  1.45e+10  0.00e+00  0.00e+00  1.25e+40  6.06e-13  3.10e+11  1.61e+05  1.27e+05  2.16e-11  5.75e-11  0.00e+00  0.00e+00  5.55e-07 -4.69e+33  9.07e+31 -2.93e+33  1.22e+06  2.57e+07  1.10e+07  0.00e+00  1.02e+07 
3.061e+13 3.110e+13   10      0        0  1.44e+10  0.00e+00  0.00e+00  1.38e+40  6.01e-13  3.08e+11  1.58e+05  1.25e+05  2.21e-11  5.41e-11  0.00e+00  0.00e+00  6.57e-07 -4.34e+33 -1.49e+32 -3.03e+33  1.15e+06  2.39e+07  1.10e+07  0.00e+00  1.02e+07 
